Nome Do Pregão,Código,Denominação Social,Segmento De Mercado,Tipo De Capital,Capital R$,Aprovado Em,Qtde Ações Ordinárias,Qtde Ações Preferenciais,Qtde Total De Ações,CNPJ,Código CVM,Ticker,Atividade Principal,Setor Econômico,Subsetor Econômico,Segmento Econômico,Site,Url
ATMASA,ATMP,ATMA PARTICIPAÇÕES S.A.,NOVO MERCADO,Homologado,1419402983.96,15/12/2021,26710356,0,26710356,04.032.433/0001-80,19100,ATMP3.SA,A ATMA Participações S.A. tem como objeto social a participação. direta e indireta. em outras sociedades comerciais e civis. como sócia. acionista ou quotista. no país ou no exterior.,Bens Industriais,Serviços,Serviços Diversos,www.liq.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/19100/ATMP/overview?language=pt-br
CCR SA,CCRO,CCR S.A.,NOVO MERCADO,Homologado,6126100230.54,09/02/2017,2020000000,0,2020000000,02.846.056/0001-97,18821,CCRO3.SA,Prestadora de serviços públicos por meio de concessões rodoviária. metroviária e aeroportuária. além de prestação de serviços de meio de pagamentos e outros.,Bens Industriais,Transporte,Exploração de Rodovias,www.ccr.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/18821/CCRO/overview?language=pt-br
ECORODOVIAS,ECOR,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,NOVO MERCADO,Homologado,2101489404.07,23/06/2021,696334224,0,696334224,04.149.454/0001-80,19453,ECOR3.SA,Exploração direta ou indireta de negócios de concessão de obras e serviços públicos e organização logísitica do transporte de carga.,Bens Industriais,Transporte,Exploração de Rodovias,www.ecorodovias.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/19453/ECOR/overview?language=pt-br
EMBRAER,EMBR,EMBRAER S.A.,NOVO MERCADO,Homologado,5159617052.42,05/03/2018,740465044,0,740465044,07.689.002/0001-89,20087,EMBR3.SA,Projeto. desenvolvimento. fabricação. comercialização de aeronaves e sistemas e fornecimento de suporte e serviços de pós-venda.,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa,www.embraer.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20087/EMBR/overview?language=pt-br
ETERNIT,ETER,ETERNIT S.A.,NOVO MERCADO,Homologado,438081465.61,29/09/2021,61776575,0,61776575,61.092.037/0001-81,5762,ETER3.SA,Industrialização e comercialização de produtos de fibrocimento. cimento. concreto. gesso. produtos de matéria plástica. bem como outros materiais de construção e respectivos acessórios.,Bens Industriais,Construção e Engenharia,Produtos para Construção,www.eternit.com.br/ri,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/5762/ETER/overview?language=pt-br
LOG-IN,LOGN,LOG-IN LOGISTICA INTERMODAL S.A.,NOVO MERCADO,Homologado,1342832978.53,10/05/2022,106476691,0,106476691,42.278.291/0001-24,20710,LOGN3.SA,A Log-In oferece soluções logísticas integradas através do transporte marítimo em navios porta-contêineres. terminal portuário. terminais intermodais e transporte rodoviário de curta distância.,Bens Industriais,Transporte,Transporte Hidroviário,www.loginlogistica.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20710/LOGN/overview?language=pt-br
METALFRIO,FRIO,METALFRIO SOLUTIONS S.A.,NOVO MERCADO,Homologado,244038820.53,17/04/2017,4106754,0,4106754,04.821.041/0001-08,20613,FRIO3.SA,FABRICAÇÃO E COMERCIALIAZAÇÃO DE GELADEIRAS E SIMILARES. DE MÁQUINAS DE VENDAS AUTOMÁTICAS. COMPONENTES E PEÇAS,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,www.metalfrio.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20613/FRIO/overview?language=pt-br
MILLS,MILS,MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.,NOVO MERCADO,Homologado,1091105302.39,19/05/2022,246183856,0,246183856,27.093.558/0001-15,22012,MILS3.SA,Locação de máquinas e equipamentos pesados / Bens Industriais / Construção e Engenharia / Serviços de Transporte e Logística,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,www.mills.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/22012/MILS/overview?language=pt-br
PORTOBELLO,PTBL,PBG S/A,NOVO MERCADO,Homologado,250000000.0,16/03/2022,140986886,0,140986886,83.475.913/0001-91,13773,PTBL3.SA,,Bens Industriais,Construção e Engenharia,Produtos para Construção,www.portobello.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/13773/PTBL/overview?language=pt-br
ROMI,ROMI,ROMI S.A.,NOVO MERCADO,Homologado,650719416.73,23/10/2020,73333922,0,73333922,56.720.428/0001-63,7510,ROMI3.SA,Indústria e Comércio de Máquinas-Ferramenta,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,www.romi.com,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/7510/ROMI/overview?language=pt-br
